Key,Proyecto,Species,Sum of NUM_IND,Sum of ABUND_REL,Sum of ABUND_ABS
376,EIA PPII - PLATERO sobre YNC,Heliconius erato,1,0.004878049,1
377,EIA PPII - PLATERO sobre YNC,Hermeuptychia hermes,15,0.060654941,15
378,EIA PPII - PLATERO sobre YNC,Herpailurus yagouaroundi,4,0.323362975,4
379,EIA PPII - PLATERO sobre YNC,Historis odius,6,0.026586338,6
380,EIA PPII - PLATERO sobre YNC,Hylephila isonira,2,0.009756098,2
381,EIA PPII - PLATERO sobre YNC,Hylomyrma sp.1,4,0.000376574,4
382,EIA PPII - PLATERO sobre YNC,Hypoponera sp.1,61,0.005603962,61
383,EIA PPII - PLATERO sobre YNC,Hypoponera sp.2,61,0.005583013,61
384,EIA PPII - PLATERO sobre YNC,Hypoponera sp.3,22,0.002013546,22
385,EIA PPII - PLATERO sobre YNC,Hypoponera sp.4,3,0.000274574,3
386,EIA PPII - PLATERO sobre YNC,Hypoponera sp.5,1,0.000101999,1
387,EIA PPII - PLATERO sobre YNC,Icterus nigrogularis,1,0.027449904,1
388,EIA PPII - PLATERO sobre YNC,Isotoma sp.1,205,0.070262177,205
389,EIA PPII - PLATERO sobre YNC,Isotoma sp.2,205,0.057453741,205
390,EIA PPII - PLATERO sobre YNC,Isotomidae? sp.1,1,0.000343053,1
391,EIA PPII - PLATERO sobre YNC,Junonia evarete,2,0.009756098,2
392,EIA PPII - PLATERO sobre YNC,Labidus coecus,312,0.029425112,312
393,EIA PPII - PLATERO sobre YNC,Leopardus pardalis,52,4.203718674,52
394,EIA PPII - PLATERO sobre YNC,Lepidocyrtus sp.1,186,0.059347241,186
395,EIA PPII - PLATERO sobre YNC,Lepidocyrtus sp.2,852,0.263032188,852
396,EIA PPII - PLATERO sobre YNC,Lepidocyrtus sp.3,25,0.008193988,25
397,EIA PPII - PLATERO sobre YNC,Leptogenys sp.1,5,0.000457624,5
398,EIA PPII - PLATERO sobre YNC,Leptogenys sp.2,2,0.00018305,2
399,EIA PPII - PLATERO sobre YNC,Leptogenys sp.3,3,0.000295523,3
400,EIA PPII - PLATERO sobre YNC,Leptotila verreauxi,2,0.054899808,2
401,EIA PPII - PLATERO sobre YNC,Linepithema sp.1,11,0.001006773,11
402,EIA PPII - PLATERO sobre YNC,Manacus manacus,3,0.082349712,3
403,EIA PPII - PLATERO sobre YNC,Marmosa robinsoni,1,0.080840744,1
404,EIA PPII - PLATERO sobre YNC,Mayaponera arhuaca,61,0.005583013,61
405,EIA PPII - PLATERO sobre YNC,Mayaponera sp.1,3,0.000295523,3
406,EIA PPII - PLATERO sobre YNC,Mechanitis polymnia,1,0.004878049,1
407,EIA PPII - PLATERO sobre YNC,Megaceryle torquata,1,0.027449904,1
408,EIA PPII - PLATERO sobre YNC,Megalomyrmex leoninus,12,0.001098298,12
409,EIA PPII - PLATERO sobre YNC,Megalomyrmex sp.1,6,0.000559623,6
410,EIA PPII - PLATERO sobre YNC,Megalomyrmex sp.2,1,0.000101999,1
411,EIA PPII - PLATERO sobre YNC,Megalothorax sp.,1,0.000343053,1
412,EIA PPII - PLATERO sobre YNC,Micronycteris sp.,1,0.080840744,1
413,EIA PPII - PLATERO sobre YNC,Mionectes oleagineus,1,0.027449904,1
414,EIA PPII - PLATERO sobre YNC,Momotus subrufescens,3,0.082349712,3
415,EIA PPII - PLATERO sobre YNC,Monodelphis adusta,2,0.161681487,2
416,EIA PPII - PLATERO sobre YNC,Monomorium floricola,185,0.018367079,185
417,EIA PPII - PLATERO sobre YNC,Morpho helenor,2,0.007968127,2
418,EIA PPII - PLATERO sobre YNC,Mycetomoellerius sp.1,2,0.00018305,2
419,EIA PPII - PLATERO sobre YNC,Mycocepurus sp.1,2,0.00018305,2
420,EIA PPII - PLATERO sobre YNC,Myrmicocrypta sp.1,9,0.000834198,9
421,EIA PPII - PLATERO sobre YNC,Nasua nasua,1,0.080840744,1
422,EIA PPII - PLATERO sobre YNC,Neivamyrmex sp.1,2,0.000203998,2
423,EIA PPII - PLATERO sobre YNC,Neoconocephalus affinis   Beauvois,2,0.22,2
